,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err
132,0.0,160.0,7.0,297.0,34.0,116.0,34.0,0.3795,0.0256
133,0.0,235.0,14.0,151.0,11.0,131.0,50.0,0.2439,0.0262
134,0.0,175.0,2.0,331.0,24.0,95.0,66.0,0.3868,0.0264
135,0.0,157.0,12.0,111.0,12.0,4.0,44.0,0.2025,0.0239
136,0.0,102.0,15.0,241.0,26.0,122.0,32.0,0.2591,0.0247
137,0.0,144.0,18.0,140.0,38.0,4.0,52.0,0.203,0.0239
138,0.0,194.0,6.0,169.0,27.0,80.0,44.0,0.2144,0.0243
139,0.0,229.0,19.0,100.0,23.0,126.0,38.0,0.2179,0.0256
140,0.0,195.0,6.0,222.0,0.0,36.0,62.0,0.1972,0.0238
141,0.0,177.0,3.0,92.0,18.0,36.0,42.0,0.186,0.0234
142,0.0,234.0,13.0,207.0,4.0,86.0,52.0,0.255,0.0259
143,0.0,126.0,12.0,15.0,15.0,9.0,64.0,0.2241,0.0241
144,0.0,96.0,18.0,54.0,25.0,104.0,24.0,0.1975,0.0239
145,0.0,106.0,13.0,44.0,30.0,79.0,34.0,0.1969,0.0237
146,0.0,190.0,6.0,90.0,32.0,57.0,38.0,0.1809,0.0232
147,0.0,118.0,10.0,127.0,23.0,145.0,30.0,0.2032,0.0243
148,0.0,191.0,2.0,122.0,10.0,97.0,62.0,0.172,0.0229
149,0.0,243.0,4.0,156.0,29.0,12.0,64.0,0.1982,0.024
150,0.0,99.0,5.0,79.0,19.0,46.0,40.0,0.2213,0.0241
151,0.0,231.0,10.0,135.0,19.0,67.0,70.0,0.204,0.0243
152,0.0,243.0,4.0,23.0,40.0,114.0,54.0,0.2082,0.025
153,0.0,186.0,13.0,305.0,15.0,52.0,48.0,0.3141,0.0261
154,0.0,168.0,1.0,103.0,32.0,142.0,40.0,0.1834,0.0237
155,0.0,219.0,19.0,264.0,20.0,22.0,58.0,0.2663,0.0257
156,0.0,183.0,1.0,117.0,42.0,71.0,44.0,0.1849,0.0234
157,0.0,101.0,9.0,309.0,37.0,136.0,18.0,0.3465,0.0249
158,0.0,151.0,20.0,198.0,19.0,43.0,30.0,0.1962,0.0238
159,0.0,226.0,5.0,359.0,26.0,97.0,50.0,0.5543,0.0266
160,0.0,172.0,14.0,46.0,0.0,112.0,42.0,0.1728,0.0233
161,0.0,222.0,9.0,249.0,39.0,27.0,40.0,0.2751,0.0259
162,0.0,194.0,18.0,164.0,3.0,124.0,48.0,0.2032,0.0243
163,0.0,169.0,6.0,214.0,25.0,21.0,50.0,0.2025,0.024
164,0.0,207.0,13.0,344.0,33.0,64.0,50.0,0.4756,0.027
