# LF noise: mean = 0.028096878554173674 +- 0.0034713745718688276
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Phi[deg],Theta[deg],Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
0,0,4.0,124.0,16.0,196.0,105.23714604443693,18.0,3.0,300.0,42.0,4792806.91,37,6.082762530298219,0.0003185234286894913,5.237326817397011e-05,0.1574676640041213,0.02608585970441577,0.025658840790518098,50000,123426
1,0,4.0,200.0,7.0,230.0,89.68035054221582,27.0,134.0,300.0,42.0,66606597.45,41,6.4031242374328485,0.0003910049781609415,6.107665549424417e-05,0.1929920091103125,0.03039659077032663,0.030083823263252353,50000,111594
2,0,4.0,139.0,8.0,95.0,217.12084868115406,4.0,17.0,300.0,42.0,4962186.81,31,5.5677643628300215,0.0002638836868807246,4.7401162241365534e-05,0.13058133602597674,0.023603709355542034,0.023381377987735617,50000,124703
3,0,4.0,198.0,7.0,357.0,57.777256651847715,28.0,45.0,300.0,42.0,35584856.04,40,6.324555320336759,0.0003583683489074245,5.6673163398475676e-05,0.1769684466675257,0.028213032029554642,0.027833322709882792,50000,118730
4,0,4.0,116.0,11.0,67.0,307.85791977178565,7.0,144.0,300.0,42.0,32953156.45,29,5.385164807134504,0.0002543458050483257,4.723683638225668e-05,0.12561276438753888,0.023465936920835383,0.0231939196036913,50000,121272
5,0,4.0,130.0,3.0,271.0,76.11247462992485,29.0,149.0,300.0,42.0,36674529.79,30,5.477225575051661,0.0002747479187845152,5.0168768044440206e-05,0.13558232243782958,0.024907897890500748,0.024900187851195285,50000,116229
6,0,4.0,225.0,11.0,19.0,1085.6042434057701,42.0,61.0,300.0,42.0,7674131.18,43,6.557438524302,0.00037738498534342033,5.756152908502909e-05,0.18709576601807382,0.028785832726021927,0.028583726654741737,50000,120726
7,0,4.0,109.0,1.0,131.0,157.4540505703026,36.0,32.0,300.0,42.0,1333626.54,68,8.246211251235321,0.0005723520301663188,6.942773871741414e-05,0.28297146671805484,0.0347967696838953,0.03463939547410192,50000,126230
8,0,4.0,123.0,15.0,155.0,133.0740685465138,33.0,148.0,300.0,42.0,105024854.71,30,5.477225575051661,0.0002823077719329613,5.15493864715135e-05,0.13897696229496867,0.02553161039775121,0.02534232375237198,50000,113390
9,0,4.0,188.0,1.0,199.0,103.65065640557604,42.0,110.0,300.0,42.0,6791441.66,46,6.782329983125268,0.0004085692969055317,6.025256126345285e-05,0.2022091385800414,0.030098009505074318,0.02976935355170043,50000,119496
10,0,4.0,200.0,1.0,203.0,101.60827893945634,29.0,30.0,300.0,42.0,2080846.97,61,7.810249675906654,0.0005187780650428629,6.643995191807341e-05,0.2569071077023979,0.03330796000094235,0.03303802395854482,50000,124724
11,0,4.0,128.0,3.0,57.0,361.8680811352568,32.0,121.0,300.0,42.0,6530777.23,36,6.0,0.0003131088227108266,5.2192972906970066e-05,0.15487438518563973,0.02600487262700596,0.025963157248294188,50000,122101
12,0,4.0,120.0,14.0,94.0,219.43064494371956,5.0,26.0,300.0,42.0,11844292.26,33,5.744562646538029,0.0002847331274051321,4.9572731384270597e-05,0.1408286486208284,0.024682714571520808,0.02448189867922338,50000,123089
13,0,4.0,251.0,4.0,300.0,68.75493541569878,1.0,33.0,300.0,42.0,13514256.5,53,7.280109889280518,0.0004561297818322647,6.266853167054607e-05,0.22671348599342675,0.03148272734716505,0.030998820142150604,50000,122799
14,0,4.0,255.0,5.0,291.0,70.88137671721525,25.0,14.0,300.0,42.0,8234716.63,53,7.280109889280518,0.0004603411736094222,6.324727585419748e-05,0.22912981767272525,0.0318183445461981,0.031650713948727344,50000,121504
15,0,4.0,122.0,8.0,114.0,180.9340405676284,28.0,90.0,300.0,42.0,25473486.65,32,5.656854249492381,0.0002830030157508866,5.0035416467891055e-05,0.13964817009727057,0.0248502822312163,0.025160500167924933,50000,120368
16,0,4.0,238.0,8.0,343.0,60.13551202539251,17.0,48.0,300.0,42.0,42555465.94,42,6.48074069840786,0.00037485608203993107,5.7852389324909226e-05,0.1861492503794959,0.02897332598219346,0.029093579193620794,50000,118518
17,0,4.0,212.0,12.0,35.0,589.3280178488468,37.0,127.0,300.0,42.0,19785181.27,48,6.928203230275509,0.00045076771376250177,6.5077377654237e-05,0.22351828310523025,0.032582965923852895,0.032034420988047624,50000,112804
18,0,4.0,113.0,8.0,294.0,70.15809736295795,25.0,61.0,300.0,42.0,43777536.93,43,6.557438524302,0.00037206565660935704,5.675003512721703e-05,0.1839253743540513,0.02829796459943198,0.028232897642196823,50000,122807
19,0,4.0,249.0,8.0,233.0,88.52566791720872,33.0,148.0,300.0,42.0,86081584.85,45,6.708203932499369,0.0004220794447310416,6.293316588324505e-05,0.21059573097600512,0.03168660815891365,0.03141184189460426,50000,112243
20,0,4.0,176.0,16.0,204.0,101.1101991407335,14.0,140.0,300.0,42.0,140793973.49,32,5.656854249492381,0.00029747794479924886,5.259498918496323e-05,0.1468408950509143,0.026130398539280054,0.025825047609625153,50000,114472
21,0,4.0,247.0,19.0,27.0,763.9437268410977,12.0,65.0,300.0,42.0,18450388.13,37,6.082762530298219,0.00033739422235191127,5.547662485615922e-05,0.16822847458580534,0.027868760753448435,0.027593767718989012,50000,115531
22,0,4.0,246.0,10.0,245.0,84.18971683554955,10.0,5.0,300.0,42.0,7792748.32,45,6.708203932499369,0.0003943252219174721,5.879412200547605e-05,0.195887136362007,0.029473121802826387,0.029168195004105942,50000,120671
23,0,4.0,140.0,8.0,345.0,59.78690036147721,35.0,69.0,300.0,42.0,58233015.13,30,5.477225575051661,0.0002689569848128956,4.911120559582827e-05,0.13279232293168924,0.024395281664752355,0.023988482722258012,50000,118671
24,0,4.0,123.0,1.0,298.0,69.21637793526725,13.0,57.0,300.0,42.0,5192410.26,44,6.6332495807108,0.00037298882728921894,5.624066705127459e-05,0.18456718285435023,0.028077803110217122,0.027698196304826415,50000,125226
25,0,4.0,134.0,19.0,278.0,74.19597347017854,43.0,76.0,300.0,42.0,123224178.61,33,5.744562646538029,0.0003036437246963563,5.286561216913616e-05,0.14982245056256824,0.026259259387319794,0.0257419793622061,50000,115700
26,0,4.0,216.0,3.0,188.0,109.71532247185978,36.0,144.0,300.0,42.0,25268843.55,43,6.557438524302,0.000408171014162585,6.225819821861509e-05,0.20278968467627895,0.031200896395607497,0.03071459770832329,50000,111383
27,0,4.0,241.0,11.0,164.0,125.77122332140023,15.0,29.0,300.0,42.0,20083881.4,49,7.0,0.000436424525276996,6.235996401026716e-05,0.2169434863897313,0.031306235797733346,0.03118408694055061,50000,118644
28,0,4.0,247.0,11.0,29.0,711.2579525761944,21.0,70.0,300.0,42.0,11299573.41,35,5.916079783099616,0.00031189848149996437,5.272868681223002e-05,0.1553183299292972,0.026444053806364096,0.026450395582156942,50000,118370
29,0,4.0,154.0,20.0,84.0,245.5533407703528,8.0,109.0,300.0,42.0,58740594.37,36,6.0,0.00032370607488400535,5.3959743909363664e-05,0.15982350663921394,0.02683600143735149,0.026155574289498707,50000,118320
30,0,4.0,224.0,11.0,245.0,84.18971683554955,0.0,47.0,300.0,42.0,41816377.99,46,6.782329983125268,0.0004057188721015356,5.9832117969253594e-05,0.2012676125422567,0.029957840831814447,0.029958813404050856,50000,120055
31,0,4.0,253.0,7.0,71.0,290.5138116156287,43.0,77.0,300.0,42.0,14453903.29,45,6.708203932499369,0.00040339207917241876,6.0146268302737717e-05,0.20116502814297044,0.030267381134803997,0.029751867921739776,50000,117505
32,0,4.0,95.0,2.0,111.0,185.8241497721589,22.0,117.0,300.0,42.0,7910436.98,40,6.324555320336759,0.0003429237680463633,5.4230304581077184e-05,0.16956625755841057,0.02703275747810116,0.02677972432983054,50000,123913
33,0,4.0,216.0,7.0,14.0,1473.3200446221167,34.0,135.0,300.0,42.0,6156195.65,53,7.280109889280518,0.00046527552211814485,6.392537437815728e-05,0.23074211069998596,0.03204228536693791,0.031196794261734585,50000,120655
34,0,4.0,204.0,15.0,284.0,72.62845290390717,17.0,87.0,300.0,42.0,115706217.76,36,6.0,0.00033390530074664933,5.5660173744809486e-05,0.1652061093395518,0.02773993551079074,0.02749324996318595,50000,114465
