# LF noise: mean = 0.029127778000381188 +- 0.005128466534986805
,Sample,Mode,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],Ge-77[nevents],Ge-77_CNP,Ge-77_CNP_err
0,0,1.0,246.8,10.1,42,10.7,16.5,700,0.356,0.023
1,0,0.0,246.8,10.1,42,10.7,16.5,700,0.441,0.023
2,1,1.0,133.4,7.3,20,27.0,143.5,400,0.221,0.023
3,1,0.0,133.4,7.3,20,27.0,143.5,400,0.253,0.023
4,2,1.0,123.4,12.7,82,0.,83.7,400,0.199,0.023
5,2,0.0,123.4,12.7,82,0.,83.7,400,0.232,0.023
