# [LF, 4, 109.0, 17.0, 321.0, 1.1214953271028036, 16.0, 99.0, 300.0, 42.0, 163768681.45] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[0, 0]",1,2,1,0
1,"[1, 0]",1,41,18,0
2,"[2, 0]",1,158,64,0
3,"[3, 0]",1,158,64,0
4,"[4, 0]",1,0,0,0
5,"[4, 1]",2,158,64,0
6,"[5, 0]",1,158,64,0
7,"[6, 0]",1,0,0,0
8,"[6, 1]",2,2,1,0
9,"[7, 0]",1,2,1,0
10,"[8, 0]",1,158,64,0
11,"[9, 0]",1,0,0,0
12,"[9, 1]",2,0,0,0
13,"[9, 2]",26,57,26,1
14,"[10, 0]",1,0,0,0
15,"[10, 1]",2,0,0,0
16,"[10, 2]",71,158,64,0
17,"[11, 0]",1,0,0,0
18,"[12, 0]",1,158,64,0
19,"[13, 0]",1,41,18,0
20,"[14, 0]",1,158,64,0
21,"[15, 0]",1,57,26,0
22,"[16, 0]",1,2,1,0
23,"[17, 0]",1,0,0,0
24,"[17, 1]",2,2,1,0
25,"[18, 0]",1,41,18,0
26,"[19, 0]",1,158,64,0
27,"[20, 0]",1,158,64,0
28,"[21, 0]",1,0,0,0
29,"[21, 1]",3,158,64,0
30,"[21, 2]",2,156,64,0
31,"[22, 0]",1,54,24,0
32,"[23, 0]",1,0,0,0
33,"[23, 1]",2,41,18,4
34,"[24, 0]",1,0,0,0
35,"[24, 1]",2,2,1,0
36,"[25, 0]",1,156,64,0
37,"[26, 0]",1,0,0,0
38,"[26, 1]",3,41,18,0
39,"[26, 2]",2,0,0,0
40,"[26, 3]",34,59,28,0
41,"[26, 4]",31,2,1,0
42,"[26, 5]",30,0,0,0
43,"[26, 6]",56,0,0,0
44,"[26, 7]",104,158,64,-1
45,"[27, 0]",1,2,1,0
46,"[28, 0]",1,0,0,0
47,"[28, 1]",2,158,64,0
48,"[29, 0]",1,2,1,0
49,"[30, 0]",1,2,1,0
50,"[31, 0]",1,41,18,0
51,"[32, 0]",1,0,0,0
52,"[32, 1]",2,0,0,-1
53,"[32, 2]",64,158,64,-1
54,"[33, 0]",1,2,1,0
55,"[34, 0]",1,0,0,0
56,"[34, 1]",2,0,0,0
57,"[34, 2]",15,158,64,0
58,"[35, 0]",1,0,0,0
59,"[35, 1]",2,158,64,-1
60,"[36, 0]",1,75,32,0
61,"[37, 0]",1,0,0,0
62,"[37, 1]",2,0,0,0
63,"[37, 2]",16,158,64,0
64,"[38, 0]",1,158,64,0
65,"[39, 0]",1,158,64,0
66,"[40, 0]",1,2,1,0
67,"[41, 0]",1,0,0,0
68,"[41, 1]",2,0,0,0
69,"[41, 2]",15,2,1,-1
70,"[42, 0]",1,2,1,0
71,"[43, 0]",1,2,1,0
72,"[44, 0]",1,158,64,0
73,"[45, 0]",1,0,0,0
74,"[45, 1]",2,0,0,0
75,"[45, 2]",24,158,64,1
76,"[46, 0]",1,57,26,0
77,"[47, 0]",1,2,1,0
78,"[48, 0]",1,2,1,0
79,"[49, 0]",1,2,1,0
80,"[50, 0]",1,0,0,0
81,"[50, 1]",3,158,64,0
82,"[50, 2]",2,0,0,0
83,"[50, 3]",39,41,18,5
84,"[51, 0]",1,59,28,1
85,"[52, 0]",1,2,1,0
86,"[53, 0]",1,2,1,0
87,"[54, 0]",1,41,18,0
88,"[55, 0]",1,0,0,0
89,"[55, 1]",2,158,64,0
90,"[56, 0]",1,2,1,0
91,"[57, 0]",1,41,18,0
92,"[58, 0]",1,0,0,0
93,"[58, 1]",2,41,18,0
94,"[59, 0]",1,158,64,1
95,"[60, 0]",1,0,0,0
96,"[60, 1]",2,0,0,4
97,"[60, 2]",49,57,26,0
98,"[61, 0]",1,0,0,0
99,"[61, 1]",2,0,0,-1
100,"[61, 2]",15,158,64,-1
101,"[62, 0]",1,0,0,0
102,"[62, 1]",2,158,64,0
103,"[63, 0]",1,0,0,0
104,"[63, 1]",2,0,0,-1
105,"[63, 2]",16,158,64,-1
106,"[64, 0]",1,57,26,0
107,"[65, 0]",1,41,18,0
108,"[66, 0]",1,0,0,0
109,"[66, 1]",2,0,0,0
110,"[66, 2]",49,158,64,-1
111,"[67, 0]",1,158,64,0
112,"[68, 0]",1,41,18,0
113,"[69, 0]",1,0,0,0
114,"[69, 1]",2,41,18,22
115,"[70, 0]",1,0,0,0
116,"[70, 1]",2,158,64,0
117,"[71, 0]",1,0,0,0
118,"[71, 1]",9,2,1,0
119,"[71, 2]",6,0,0,0
120,"[71, 3]",5,0,0,0
121,"[71, 4]",3,0,0,0
122,"[71, 5]",2,0,0,0
123,"[71, 6]",41,0,0,0
124,"[71, 7]",37,0,0,0
125,"[71, 8]",33,0,0,0
126,"[71, 9]",30,2,1,0
127,"[71, 10]",146,64,29,0
128,"[71, 11]",113,0,0,0
129,"[71, 12]",70,0,0,0
130,"[71, 13]",323,0,0,0
131,"[71, 14]",322,0,0,0
132,"[71, 15]",280,0,0,0
133,"[71, 16]",382,2,1,0
134,"[71, 17]",356,0,0,0
135,"[71, 18]",353,158,64,-1
136,"[71, 19]",458,2,1,0
137,"[72, 0]",1,41,18,0
138,"[73, 0]",1,158,64,0
139,"[74, 0]",1,0,0,0
140,"[74, 1]",2,2,1,0
141,"[75, 0]",1,0,0,0
142,"[75, 1]",3,0,0,0
143,"[75, 2]",2,0,0,0
144,"[75, 3]",50,2,1,0
145,"[75, 4]",42,0,0,0
146,"[75, 5]",153,2,1,0
147,"[76, 0]",1,0,0,1
148,"[76, 1]",5,158,64,0
149,"[76, 2]",4,158,64,0
150,"[76, 3]",2,0,0,0
151,"[76, 4]",37,158,64,0
152,"[76, 5]",36,0,0,0
153,"[76, 6]",35,0,0,0
154,"[76, 7]",67,41,18,0
155,"[76, 8]",64,158,64,0
156,"[77, 0]",1,158,64,0
157,"[78, 0]",1,41,18,0
158,"[79, 0]",1,158,64,0
159,"[80, 0]",1,0,0,0
160,"[80, 1]",5,2,1,4
161,"[80, 2]",3,0,0,-1
162,"[80, 3]",35,158,64,4
163,"[81, 0]",1,0,0,0
164,"[81, 1]",2,0,0,-1
165,"[81, 2]",16,2,1,8
166,"[82, 0]",1,0,0,0
167,"[82, 1]",4,0,0,0
168,"[82, 2]",3,0,0,0
169,"[82, 3]",2,0,0,0
170,"[82, 4]",50,0,0,0
171,"[82, 5]",49,0,0,0
172,"[82, 6]",42,2,1,0
173,"[82, 7]",37,158,64,0
174,"[82, 8]",77,41,18,0
175,"[82, 9]",75,0,0,0
176,"[82, 10]",70,41,18,0
177,"[82, 11]",307,0,0,0
178,"[82, 12]",409,41,18,0
179,"[83, 0]",1,158,64,0
180,"[84, 0]",1,2,1,0
181,"[85, 0]",1,2,1,0
182,"[86, 0]",1,2,1,0
183,"[87, 0]",1,0,0,0
184,"[87, 1]",2,0,0,3
185,"[87, 2]",36,158,64,9
186,"[88, 0]",1,158,64,0
187,"[89, 0]",1,51,24,0
188,"[90, 0]",1,2,1,0
189,"[91, 0]",1,0,0,0
190,"[91, 1]",2,2,1,0
191,"[92, 0]",1,0,0,0
192,"[92, 1]",4,2,1,0
193,"[92, 2]",2,0,0,0
194,"[93, 0]",1,0,0,0
195,"[93, 1]",3,158,64,0
196,"[93, 2]",2,2,1,0
197,"[94, 0]",1,2,1,0
198,"[95, 0]",1,0,0,0
199,"[95, 1]",2,156,64,38
200,"[96, 0]",1,0,0,0
201,"[96, 1]",3,0,0,0
202,"[96, 2]",44,0,0,0
203,"[96, 3]",57,41,18,0
204,"[97, 0]",1,158,64,0
205,"[98, 0]",1,0,0,0
206,"[98, 1]",2,2,1,0
207,"[99, 0]",1,41,18,1
208,"[100, 0]",1,0,0,0
209,"[100, 1]",2,0,0,0
210,"[100, 2]",68,41,18,0
211,"[101, 0]",1,2,1,0
212,"[102, 0]",1,2,1,1
213,"[103, 0]",1,41,18,0
214,"[104, 0]",1,0,0,0
215,"[104, 1]",2,41,18,0
216,"[105, 0]",1,57,26,0
217,"[106, 0]",1,158,64,1
218,"[107, 0]",1,2,1,0
219,"[108, 0]",1,0,0,0
220,"[108, 1]",2,2,1,0
221,"[109, 0]",1,0,0,0
222,"[109, 1]",2,158,64,0
223,"[110, 0]",1,156,64,0
224,"[111, 0]",1,158,64,0
225,"[112, 0]",1,0,0,0
226,"[112, 1]",2,2,1,0
227,"[113, 0]",1,0,0,0
228,"[113, 1]",2,0,0,0
229,"[113, 2]",11,57,26,6
230,"[114, 0]",1,0,0,0
231,"[114, 1]",2,41,18,0
232,"[115, 0]",1,0,0,0
233,"[115, 1]",3,2,1,0
234,"[115, 2]",2,0,0,0
235,"[115, 3]",39,54,24,0
236,"[116, 0]",1,2,1,0
237,"[117, 0]",1,0,0,0
238,"[117, 1]",2,156,64,0
239,"[118, 0]",1,51,24,0
240,"[119, 0]",1,0,0,0
241,"[119, 1]",2,0,0,0
242,"[119, 2]",29,53,24,0
243,"[120, 0]",1,2,1,0
244,"[121, 0]",1,0,0,0
245,"[121, 1]",2,63,28,0
246,"[122, 0]",1,2,1,0
247,"[123, 0]",1,0,0,0
