# [LF, 4, 104.0, 3.0, 200.0, 1.8, 40.0, 60.0, 300.0, 42.0, 11015808.57] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
171,"[82, 10]",70,2,1,0
172,"[82, 11]",307,2,1,0
173,"[82, 12]",306,2,1,0
174,"[83, 0]",1,158,64,0
175,"[84, 0]",1,2,1,0
176,"[85, 0]",1,2,1,0
177,"[86, 0]",1,158,64,0
178,"[87, 0]",1,0,0,0
179,"[87, 1]",2,0,0,3
180,"[87, 2]",36,158,64,9
181,"[88, 0]",1,158,64,0
182,"[89, 0]",1,51,24,0
183,"[90, 0]",1,2,1,0
184,"[91, 0]",1,0,0,0
185,"[91, 1]",2,57,26,0
186,"[92, 0]",1,0,0,0
187,"[92, 1]",4,0,0,0
188,"[92, 2]",2,0,0,0
189,"[92, 3]",42,0,0,0
190,"[92, 4]",27,2,1,8
191,"[92, 5]",69,53,24,0
192,"[92, 6]",68,158,64,0
193,"[93, 0]",1,0,0,0
194,"[93, 1]",3,158,64,0
195,"[93, 2]",2,2,1,0
196,"[94, 0]",1,2,1,0
197,"[95, 0]",1,0,0,0
198,"[95, 1]",2,156,64,38
199,"[96, 0]",1,0,0,0
200,"[96, 1]",5,54,24,0
201,"[96, 2]",4,0,0,0
202,"[96, 3]",3,0,0,0
203,"[96, 4]",55,0,0,0
204,"[96, 5]",50,2,1,0
205,"[96, 6]",78,158,64,0
206,"[97, 0]",1,158,64,0
207,"[98, 0]",1,0,0,0
208,"[98, 1]",2,2,1,0
209,"[99, 0]",1,2,1,1
210,"[100, 0]",1,0,0,0
211,"[100, 1]",2,0,0,0
212,"[100, 2]",83,2,1,0
213,"[101, 0]",1,2,1,0
214,"[102, 0]",1,2,1,1
215,"[103, 0]",1,2,1,0
216,"[104, 0]",1,0,0,0
217,"[104, 1]",2,2,1,0
218,"[105, 0]",1,2,1,0
219,"[106, 0]",1,158,64,1
220,"[107, 0]",1,2,1,0
221,"[108, 0]",1,0,0,0
222,"[108, 1]",2,2,1,0
223,"[109, 0]",1,0,0,0
224,"[109, 1]",2,158,64,0
225,"[110, 0]",1,156,64,0
226,"[111, 0]",1,0,0,0
227,"[111, 1]",2,2,1,0
228,"[112, 0]",1,0,0,0
229,"[112, 1]",2,2,1,0
230,"[113, 0]",1,0,0,0
231,"[113, 1]",2,0,0,0
232,"[113, 2]",11,57,26,6
233,"[114, 0]",1,0,0,0
234,"[114, 1]",2,41,18,0
235,"[115, 0]",1,0,0,0
236,"[115, 1]",3,41,18,0
237,"[115, 2]",2,0,0,0
238,"[115, 3]",41,158,64,0
239,"[116, 0]",1,41,18,0
240,"[117, 0]",1,0,0,0
241,"[117, 1]",2,156,64,0
242,"[118, 0]",1,158,64,0
243,"[119, 0]",1,0,0,0
244,"[119, 1]",2,0,0,0
245,"[119, 2]",29,53,24,0
246,"[120, 0]",1,2,1,0
247,"[121, 0]",1,0,0,0
248,"[121, 1]",2,63,28,0
249,"[122, 0]",1,2,1,0
250,"[123, 0]",1,0,0,0
251,"[123, 1]",2,0,0,0
252,"[123, 2]",14,156,64,0
253,"[124, 0]",1,0,0,1
254,"[124, 1]",2,0,0,0
255,"[124, 2]",66,158,64,0
256,"[124, 3]",64,41,18,0
257,"[124, 4]",61,0,0,0
258,"[124, 5]",60,0,0,0
259,"[124, 6]",58,0,0,0
260,"[124, 7]",57,0,0,0
261,"[124, 8]",55,0,0,0
262,"[124, 9]",49,0,0,0
263,"[124, 10]",47,0,0,0
264,"[124, 11]",46,0,0,0
265,"[124, 12]",45,0,0,0
266,"[124, 13]",44,0,0,0
267,"[124, 14]",172,57,26,0
268,"[124, 15]",166,2,1,0
269,"[124, 16]",163,0,0,0
270,"[124, 17]",159,158,64,0
271,"[124, 18]",156,41,18,0
272,"[124, 19]",135,158,64,0
273,"[124, 20]",134,0,0,0
274,"[124, 21]",133,0,0,0
275,"[124, 22]",125,2,1,0
276,"[124, 23]",116,41,18,0
277,"[124, 24]",110,0,0,0
278,"[124, 25]",104,158,64,0
279,"[124, 26]",514,158,64,0
280,"[124, 27]",363,156,64,0
281,"[124, 28]",362,158,64,0
282,"[124, 29]",360,0,0,0
283,"[124, 30]",353,0,0,0
284,"[124, 31]",307,2,1,0
285,"[124, 32]",861,158,64,0
286,"[124, 33]",826,2,1,0
287,"[124, 34]",824,53,24,0
288,"[124, 35]",823,0,0,0
289,"[124, 36]",822,0,0,0
290,"[124, 37]",1081,156,64,0
291,"[124, 38]",1076,158,64,0
292,"[125, 0]",1,156,64,0
293,"[126, 0]",1,158,64,0
294,"[127, 0]",1,158,64,0
295,"[128, 0]",1,0,0,0
296,"[128, 1]",6,0,0,0
297,"[128, 2]",5,0,0,0
298,"[128, 3]",3,0,0,0
299,"[128, 4]",2,0,0,0
300,"[128, 5]",35,0,0,0
301,"[128, 6]",34,158,64,0
302,"[128, 7]",30,0,0,0
303,"[128, 8]",26,2,1,0
304,"[128, 9]",22,57,26,0
305,"[128, 10]",85,2,1,0
306,"[128, 11]",84,41,18,0
307,"[128, 12]",55,14,6,0
308,"[129, 0]",1,0,0,0
309,"[129, 1]",2,156,64,0
310,"[130, 0]",1,41,18,0
311,"[131, 0]",1,0,0,0
312,"[131, 1]",2,158,64,0
313,"[132, 0]",1,0,0,0
314,"[132, 1]",2,2,1,0
315,"[133, 0]",1,41,18,0
316,"[134, 0]",1,41,18,0
317,"[135, 0]",1,2,1,0
318,"[136, 0]",1,0,0,0
319,"[136, 1]",2,158,64,0
320,"[137, 0]",1,158,64,0
321,"[138, 0]",1,0,0,0
322,"[138, 1]",2,158,64,1
323,"[139, 0]",1,158,64,0
324,"[140, 0]",1,158,64,0
325,"[141, 0]",1,0,0,0
326,"[141, 1]",2,158,64,0
327,"[142, 0]",1,0,0,0
328,"[142, 1]",2,41,18,45
329,"[143, 0]",1,0,0,0
330,"[143, 1]",2,2,1,0
331,"[144, 0]",1,41,18,0
332,"[145, 0]",1,41,18,0
333,"[146, 0]",1,156,64,0
334,"[147, 0]",1,57,26,0
335,"[148, 0]",1,0,0,0
336,"[148, 1]",2,158,64,-1
337,"[149, 0]",1,41,18,0
338,"[150, 0]",1,156,64,0
339,"[151, 0]",1,0,0,0
340,"[151, 1]",2,57,26,0
341,"[152, 0]",1,51,24,0
342,"[153, 0]",1,2,1,0
343,"[154, 0]",1,57,26,0
344,"[155, 0]",1,41,18,0
345,"[156, 0]",1,0,0,0
346,"[156, 1]",2,156,64,0
347,"[157, 0]",1,0,0,0
348,"[157, 1]",2,2,1,0
349,"[158, 0]",1,57,26,0
350,"[159, 0]",1,0,0,0
351,"[159, 1]",4,158,64,0
352,"[159, 2]",3,0,0,0
353,"[159, 3]",26,158,64,-1
354,"[160, 0]",1,0,0,0
355,"[160, 1]",2,41,18,0
356,"[161, 0]",1,0,0,0
357,"[161, 1]",2,158,64,0
358,"[162, 0]",1,0,0,1
359,"[162, 1]",2,156,64,0
360,"[163, 0]",1,0,0,0
361,"[163, 1]",2,0,0,0
362,"[163, 2]",22,2,1,0
363,"[164, 0]",1,0,0,0
364,"[164, 1]",2,156,64,0
365,"[165, 0]",1,158,64,0
366,"[166, 0]",1,158,64,0
367,"[167, 0]",1,2,1,0
368,"[168, 0]",1,0,0,0
369,"[168, 1]",2,0,0,0
370,"[168, 2]",53,57,26,0
371,"[169, 0]",1,0,0,0
372,"[169, 1]",2,0,0,-1
373,"[169, 2]",18,0,0,3
374,"[169, 3]",33,158,64,1
375,"[170, 0]",1,156,64,0
376,"[171, 0]",1,158,64,0
377,"[172, 0]",1,2,1,0
378,"[173, 0]",1,0,0,0
379,"[173, 1]",2,0,0,0
380,"[173, 2]",32,0,0,0
381,"[173, 3]",48,0,0,0
382,"[173, 4]",46,0,0,0
383,"[173, 5]",45,0,0,0
384,"[173, 6]",44,0,0,0
385,"[173, 7]",89,0,0,0
386,"[173, 8]",88,0,0,0
387,"[173, 9]",84,2,1,0
388,"[173, 10]",83,0,0,0
389,"[173, 11]",79,41,18,0
390,"[173, 12]",67,2,1,30
391,"[173, 13]",157,57,26,0
392,"[173, 14]",120,0,0,0
393,"[173, 15]",116,156,64,0
394,"[173, 16]",326,57,26,0
395,"[174, 0]",1,2,1,0
396,"[175, 0]",1,158,64,0
397,"[176, 0]",1,0,0,0
398,"[176, 1]",2,158,64,0
399,"[177, 0]",1,2,1,0
400,"[178, 0]",1,158,64,1
401,"[179, 0]",1,77,32,0
402,"[180, 0]",1,158,64,0
403,"[181, 0]",1,41,18,0
