# [LF, 4, 250.0, 16.0, 191.0, 1.8848167539267016, 41.0, 147.0, 300.0, 42.0, 141882768.95] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
0,"[0, 0]",1,41,18,0
1,"[1, 0]",1,2,1,0
2,"[2, 0]",1,2,1,0
3,"[3, 0]",1,2,1,0
4,"[4, 0]",1,2,1,0
5,"[5, 0]",1,158,64,0
6,"[6, 0]",1,2,1,0
7,"[7, 0]",1,2,1,0
8,"[8, 0]",1,41,18,0
9,"[9, 0]",1,0,0,0
10,"[9, 1]",2,0,0,0
11,"[9, 2]",26,57,26,1
12,"[10, 0]",1,0,0,0
13,"[10, 1]",2,0,0,0
14,"[10, 2]",71,158,64,0
15,"[11, 0]",1,0,0,0
16,"[11, 1]",2,2,1,0
17,"[12, 0]",1,158,64,0
18,"[13, 0]",1,2,1,0
19,"[14, 0]",1,2,1,0
20,"[15, 0]",1,2,1,0
21,"[16, 0]",1,2,1,0
22,"[17, 0]",1,2,1,0
23,"[18, 0]",1,2,1,0
24,"[19, 0]",1,41,18,0
25,"[20, 0]",1,2,1,0
26,"[21, 0]",1,0,0,0
27,"[21, 1]",2,2,1,0
28,"[22, 0]",1,37,18,0
29,"[23, 0]",1,0,0,0
30,"[23, 1]",2,54,24,4
31,"[24, 0]",1,0,0,0
32,"[24, 1]",2,41,18,0
33,"[25, 0]",1,2,1,0
34,"[26, 0]",1,0,0,0
35,"[26, 1]",3,2,1,0
36,"[26, 2]",2,0,0,0
37,"[26, 3]",28,2,1,0
38,"[27, 0]",1,2,1,0
39,"[28, 0]",1,0,0,0
40,"[28, 1]",2,158,64,0
41,"[29, 0]",1,2,1,0
42,"[30, 0]",1,2,1,0
43,"[31, 0]",1,41,18,0
44,"[32, 0]",1,0,0,0
45,"[32, 1]",2,0,0,-1
46,"[32, 2]",64,158,64,-1
47,"[33, 0]",1,2,1,0
48,"[34, 0]",1,0,0,0
49,"[34, 1]",2,0,0,0
50,"[34, 2]",15,2,1,0
51,"[35, 0]",1,2,1,0
52,"[36, 0]",1,75,32,0
53,"[37, 0]",1,2,1,0
54,"[38, 0]",1,158,64,0
55,"[39, 0]",1,2,1,0
56,"[40, 0]",1,158,64,0
57,"[41, 0]",1,0,0,0
58,"[41, 1]",2,0,0,0
59,"[41, 2]",15,2,1,-1
60,"[42, 0]",1,2,1,0
61,"[43, 0]",1,2,1,0
62,"[44, 0]",1,2,1,0
63,"[45, 0]",1,2,1,0
64,"[46, 0]",1,57,26,0
65,"[47, 0]",1,2,1,0
66,"[48, 0]",1,2,1,0
67,"[49, 0]",1,2,1,0
68,"[50, 0]",1,2,1,0
69,"[51, 0]",1,59,28,1
70,"[52, 0]",1,41,18,0
71,"[53, 0]",1,2,1,0
72,"[54, 0]",1,41,18,0
73,"[55, 0]",1,0,0,0
74,"[55, 1]",2,158,64,0
75,"[56, 0]",1,2,1,0
76,"[57, 0]",1,158,64,0
77,"[58, 0]",1,2,1,0
78,"[59, 0]",1,158,64,1
79,"[60, 0]",1,0,0,0
80,"[60, 1]",2,0,0,4
81,"[60, 2]",49,57,26,0
82,"[61, 0]",1,2,1,0
83,"[62, 0]",1,0,0,0
84,"[62, 1]",2,158,64,0
85,"[63, 0]",1,0,0,0
86,"[63, 1]",2,0,0,-1
87,"[63, 2]",16,158,64,-1
88,"[64, 0]",1,2,1,0
89,"[65, 0]",1,2,1,0
90,"[66, 0]",1,0,0,0
91,"[66, 1]",2,0,0,0
92,"[66, 2]",49,158,64,-1
93,"[67, 0]",1,2,1,0
94,"[68, 0]",1,41,18,0
95,"[69, 0]",1,57,26,0
96,"[70, 0]",1,2,1,0
97,"[71, 0]",1,0,0,0
98,"[71, 1]",9,41,18,0
99,"[71, 2]",6,0,0,0
100,"[71, 3]",5,0,0,0
101,"[71, 4]",3,0,0,0
102,"[71, 5]",2,0,0,0
103,"[71, 6]",50,41,18,0
104,"[71, 7]",49,41,18,0
105,"[71, 8]",46,0,0,0
106,"[71, 9]",42,0,0,0
107,"[71, 10]",41,41,18,0
108,"[71, 11]",37,41,18,0
109,"[71, 12]",34,41,18,0
110,"[71, 13]",131,2,1,0
111,"[71, 14]",100,41,18,0
112,"[71, 15]",99,0,0,0
113,"[71, 16]",340,41,18,0
114,"[72, 0]",1,57,26,0
115,"[73, 0]",1,41,18,0
116,"[74, 0]",1,0,0,0
117,"[74, 1]",2,2,1,0
118,"[75, 0]",1,0,0,0
119,"[75, 1]",5,41,18,0
120,"[75, 2]",4,2,1,0
121,"[75, 3]",3,0,0,0
122,"[75, 4]",2,0,0,0
123,"[75, 5]",37,41,18,0
124,"[75, 6]",34,0,0,0
125,"[75, 7]",77,41,18,0
126,"[76, 0]",1,0,0,1
127,"[76, 1]",2,2,1,0
128,"[77, 0]",1,158,64,0
129,"[78, 0]",1,41,18,0
130,"[79, 0]",1,2,1,0
131,"[80, 0]",1,0,0,0
132,"[80, 1]",5,2,1,4
133,"[80, 2]",3,0,0,-1
134,"[80, 3]",33,0,0,3
135,"[80, 4]",44,59,28,1
136,"[81, 0]",1,2,1,0
137,"[82, 0]",1,0,0,0
138,"[82, 1]",3,0,0,0
139,"[82, 2]",2,0,0,0
