# [LF, 3,  200.0,  10.0,  360, 0.0,  0.0,  3.5,  300.0,  42.0,  4702964.] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
171,"[84, 0]",1,158,64,0
172,"[85, 0]",1,57,26,0
173,"[86, 0]",1,41,18,0
174,"[87, 0]",1,0,0,0
175,"[87, 1]",2,0,0,3
176,"[87, 2]",36,158,64,9
177,"[88, 0]",1,158,64,0
178,"[89, 0]",1,156,64,0
179,"[90, 0]",1,41,18,0
180,"[91, 0]",1,0,0,0
181,"[91, 1]",2,2,1,0
182,"[92, 0]",1,0,0,0
183,"[92, 1]",4,2,1,0
184,"[92, 2]",2,0,0,0
185,"[92, 3]",45,156,64,0
186,"[92, 4]",44,41,18,0
187,"[92, 5]",43,0,0,0
188,"[92, 6]",64,2,1,0
189,"[93, 0]",1,0,0,0
190,"[93, 1]",3,41,18,0
191,"[93, 2]",2,2,1,0
192,"[94, 0]",1,158,64,0
193,"[95, 0]",1,0,0,0
194,"[95, 1]",2,156,64,38
195,"[96, 0]",1,0,0,0
196,"[96, 1]",5,41,18,0
197,"[96, 2]",4,41,18,0
198,"[96, 3]",3,2,1,0
199,"[97, 0]",1,158,64,0
200,"[98, 0]",1,0,0,0
201,"[98, 1]",2,41,18,0
202,"[99, 0]",1,57,26,1
203,"[100, 0]",1,0,0,0
204,"[100, 1]",2,0,0,0
205,"[100, 2]",68,41,18,0
206,"[101, 0]",1,0,0,0
207,"[101, 1]",2,2,1,0
208,"[102, 0]",1,2,1,1
209,"[103, 0]",1,2,1,0
210,"[104, 0]",1,0,0,0
211,"[104, 1]",2,41,18,0
212,"[105, 0]",1,2,1,0
213,"[106, 0]",1,158,64,1
214,"[107, 0]",1,2,1,0
215,"[108, 0]",1,0,0,0
216,"[108, 1]",2,37,18,0
217,"[109, 0]",1,0,0,0
218,"[109, 1]",2,158,64,0
219,"[110, 0]",1,41,18,0
220,"[111, 0]",1,0,0,0
221,"[111, 1]",2,2,1,0
222,"[112, 0]",1,0,0,0
223,"[112, 1]",2,41,18,0
224,"[113, 0]",1,0,0,0
225,"[113, 1]",2,0,0,0
226,"[113, 2]",11,57,26,6
227,"[114, 0]",1,0,0,0
228,"[114, 1]",2,41,18,0
229,"[115, 0]",1,0,0,0
230,"[115, 1]",3,57,26,0
231,"[115, 2]",2,0,0,0
232,"[115, 3]",39,2,1,0
233,"[116, 0]",1,2,1,0
234,"[117, 0]",1,0,0,0
235,"[117, 1]",2,156,64,0
236,"[118, 0]",1,2,1,0
237,"[119, 0]",1,0,0,0
238,"[119, 1]",2,0,0,0
239,"[119, 2]",29,41,18,0
240,"[120, 0]",1,2,1,0
241,"[121, 0]",1,0,0,0
242,"[121, 1]",2,63,28,0
243,"[122, 0]",1,158,64,0
