# LF noise: mean = 0.0022628192034284005 +- 0.00024368952720959624
,Mode,Design,Radius[cm],Thickness[cm],NPanels,Angle[deg],Length[cm],Height[cm],ZPosition[cm],Volume[cm3],Ge-77[nevents],Ge-77_err[nevents],Ge77-Eff,Ge77-Eff_err,Ge77-Rate[nucleus/(kg yr)],Ge77-Rate_err[nucleus/(kg yr)],Ge77-Rate_err_stat[nucleus/(kg yr)],nprimaries,total_neutrons
48,LF,4.0,204.0,8.9,11,1.0,67.2,300.0,42.0,4508332.68,43,6.557438524302,0.0003713330857779428,5.663827760377698e-05,0.01347142461021607,0.0020726551931745532,0.002078204942022581,50000,122834
49,LF,4.0,240.0,7.1,51,8.0,56.0,300.0,42.0,8807133.26,39,6.244997998398398,0.0003426583257187039,5.487864497993585e-05,0.012464962117006654,0.0020121146448287735,0.0019862439256877287,50000,120403
50,LF,4.0,223.0,5.0,7,40.0,106.1,300.0,42.0,2747175.53,50,7.0710678118654755,0.00042641377487058344,6.031687022133735e-05,0.015475591435633384,0.002211204696195235,0.0021472087414019644,50000,124333
51,LF,4.0,218.0,3.8,7,-43.0,105.3,300.0,42.0,2014884.67,60,7.745966692414834,0.0005091476867723431,6.57474149043706e-05,0.018474424528207703,0.0024145926639244832,0.002399755477633993,50000,124981
52,LF,4.0,214.0,12.5,5,20.0,10.0,300.0,42.0,4216769.29,46,6.782329983125268,0.00039227725474143813,5.784946897244485e-05,0.014217761177527807,0.0021162399582469772,0.0020796261940455147,50000,124506
53,LF,4.0,177.0,8.1,10,30.0,95.2,300.0,42.0,4057083.92,42,6.48074069840786,0.00036114120621162876,5.573535937014167e-05,0.013099375421420341,0.002038847142034923,0.0019990014482073387,50000,123385
54,LF,4.0,225.0,6.5,9,39.0,60.5,300.0,42.0,3250520.25,55,7.416198487095663,0.0004693994247723413,6.330865881949233e-05,0.01702958805467443,0.0023223687839637594,0.0022531729751127916,50000,124286
55,LF,4.0,125.0,7.7,8,-43.0,49.5,300.0,42.0,1766706.73,49,7.0,0.00041083600935699975,5.870291340059136e-05,0.014890387142316684,0.002148744014676062,0.0021690894127631703,50000,126635
56,LF,4.0,213.0,2.9,7,9.0,112.0,300.0,42.0,1531423.08,65,8.06225774829855,0.0005491070674303478,6.812704619148977e-05,0.019940408499199525,0.002506486538478897,0.002473512352183316,50000,125442
57,LF,4.0,156.0,2.7,9,-25.0,117.3,300.0,42.0,1282382.16,73,8.54400374531753,0.0006140077886467437,7.188623516684949e-05,0.022288537647484064,0.002647947634107917,0.002582972872130133,50000,126039
58,LF,4.0,141.0,2.7,4,-20.0,85.1,300.0,42.0,626037.74,75,8.660254037844387,0.000622654667419387,7.19203482887586e-05,0.02257569764128365,0.002647116845226824,0.0025855447889657876,50000,127845
59,LF,4.0,196.0,4.7,9,-23.0,59.4,300.0,42.0,1943307.98,61,7.810249675906654,0.0005158518744027534,6.60650978186194e-05,0.018729879967121135,0.002428322741843747,0.0024050377771947995,50000,125331
60,LF,4.0,210.0,9.6,5,41.0,13.4,300.0,42.0,3101772.8,54,7.3484692283495345,0.00045854420705818415,6.24142678089467e-05,0.01663097411596493,0.002288444814207689,0.002234957367343174,50000,124951
61,LF,4.0,115.0,10.9,12,-12.0,36.1,300.0,42.0,2502133.98,42,6.48074069840786,0.00035405093275561213,5.464091524715002e-05,0.012832603702834053,0.0019973187584644736,0.0019619676871171126,50000,125950
62,LF,4.0,164.0,1.0,10,4.0,104.8,300.0,42.0,485459.72,82,9.055385138137417,0.0006816632583503749,7.530276633931208e-05,0.024735776973961423,0.0027777491130545925,0.0027407050127556632,50000,127571
63,LF,4.0,197.0,12.8,26,-5.0,10.1,300.0,42.0,4548363.98,52,7.211102550927978,0.0004471502768892099,6.202244861205333e-05,0.016201335705792623,0.0022708748688463087,0.0022359655402716967,50000,123514
64,LF,4.0,214.0,8.5,17,-32.0,0.8,300.0,42.0,2678664.01,54,7.3484692283495345,0.0004580036131396148,6.234066858721901e-05,0.016606917868841976,0.0022851339430939566,0.0022322101212910784,50000,125132
65,LF,4.0,177.0,13.9,5,16.0,80.7,300.0,42.0,4865374.3,48,6.928203230275509,0.0004109940919599281,5.9334076627430954e-05,0.014903075086271662,0.002172427581539737,0.0021891159999258996,50000,123945
66,LF,4.0,229.0,7.2,14,15.0,0.1,300.0,42.0,2526924.04,54,7.3484692283495345,0.0004571118992999416,6.221926618999208e-05,0.016564953461278557,0.0022793583693908855,0.002216196200798142,50000,125449
67,LF,4.0,111.0,3.0,4,-19.0,50.3,300.0,42.0,426048.83,72,8.48528137423857,0.0005941280345914545,7.003945729475536e-05,0.021542583502584506,0.002576503716655323,0.0025573152189853126,50000,128617
68,LF,4.0,170.0,6.9,120,-2.0,15.2,300.0,42.0,5132382.5,48,6.928203230275509,0.0004109342761992004,5.9325439418462526e-05,0.014916313171300046,0.002174357669489616,0.0021675856673473745,50000,123835
69,LF,4.0,246.0,10.8,360,-12.0,23.9,300.0,42.0,32351966.42,49,7.0,0.0004365956233516288,6.238441726004491e-05,0.015905763559710785,0.0022952966778722983,0.002252140014904391,50000,118551
70,LF,4.0,120.0,6.2,7,14.0,113.1,300.0,42.0,2092988.4,55,7.416198487095663,0.00046340374261713584,6.249982420262637e-05,0.016799798239195356,0.0022910250676667515,0.0022678275309602402,50000,125986
71,LF,4.0,143.0,4.5,40,43.0,79.9,300.0,42.0,4929743.48,44,6.6332495807108,0.00038060966748555415,5.7389984776284846e-05,0.013798418286480645,0.0020991307082960666,0.0020460315382900126,50000,122712
72,LF,4.0,128.0,2.0,60,-20.0,43.3,300.0,42.0,1771171.66,50,7.0710678118654755,0.0004228615889447066,5.981430198521007e-05,0.015318992308896256,0.0021888249219385427,0.0021514176702493336,50000,125604
73,LF,4.0,247.0,3.1,11,-15.0,42.6,300.0,42.0,1654139.24,63,7.937253933193772,0.000528829607742737,6.664388264382767e-05,0.01921244842702552,0.0024520199743033586,0.0024739758044637367,50000,126189
74,LF,4.0,159.0,2.4,4,-40.0,35.0,300.0,42.0,493624.14,65,8.06225774829855,0.0005410759920420208,6.71303710149037e-05,0.01961024133274211,0.0024649746070767556,0.0024182526287200895,50000,127554
75,LF,4.0,167.0,3.1,72,36.0,47.0,300.0,42.0,3710693.01,46,6.782329983125268,0.0003938625933283102,5.808330625961709e-05,0.014282344086953495,0.002125854539494296,0.0021147901991694935,50000,123943
76,LF,4.0,202.0,6.7,15,19.0,116.8,300.0,42.0,5355098.76,38,6.164414002968976,0.00033240318757161974,5.393187880645791e-05,0.012053745524774725,0.0019707651841194915,0.0019754742037478784,50000,121318
77,LF,4.0,227.0,13.0,6,23.0,86.0,300.0,42.0,6717249.16,53,7.280109889280518,0.00045788336933045356,6.290951550026672e-05,0.01660931710517848,0.002306464484685996,0.0022861692318050745,50000,122797
78,LF,4.0,243.0,3.4,4,3.0,83.5,300.0,42.0,1637680.65,56,7.483314773547883,0.00047444760742849397,6.341576677028706e-05,0.01721951190701237,0.002327677322183578,0.002300760756058692,50000,125150
79,LF,4.0,104.0,7.4,180,11.0,96.7,300.0,42.0,39218328.18,32,5.656854249492381,0.0002753872633390706,4.868875308674298e-05,0.00997740367985406,0.001775465386624302,0.0017865712666825673,50000,123423
80,LF,4.0,137.0,8.1,4,3.0,54.4,300.0,42.0,1600286.59,52,7.211102550927978,0.0004348771472059143,6.0319721280119686e-05,0.015758117132053974,0.002208738286265955,0.0021671817937135387,50000,126988
