# [LF, 4, 225.5, 13.5, 11, 32.72727272727273, 9.7, 120.9, 300.0, 42.0, 10231269.68] # mode design r d Npanels angle L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
171,"[71, 0]",1,0,0,0
172,"[71, 1]",4,0,0,0
173,"[71, 2]",2,0,0,0
174,"[71, 3]",23,0,0,0
175,"[71, 4]",18,2,1,0
176,"[71, 5]",40,0,0,0
177,"[71, 6]",109,41,18,0
178,"[72, 0]",1,41,18,0
179,"[73, 0]",1,41,18,0
180,"[74, 0]",1,0,0,0
181,"[74, 1]",2,156,64,0
182,"[75, 0]",1,41,18,0
183,"[76, 0]",1,0,0,0
184,"[76, 1]",4,0,0,0
185,"[76, 2]",3,2,1,0
186,"[76, 3]",2,0,0,0
187,"[76, 4]",46,156,64,0
188,"[76, 5]",45,0,0,0
189,"[76, 6]",44,0,0,0
190,"[76, 7]",43,0,0,0
191,"[76, 8]",33,158,64,0
192,"[76, 9]",69,13,6,0
193,"[76, 10]",66,156,64,0
194,"[76, 11]",63,41,18,0
195,"[77, 0]",1,158,64,0
196,"[78, 0]",1,41,18,0
197,"[79, 0]",1,41,18,0
198,"[80, 0]",1,0,0,0
199,"[80, 1]",6,0,0,0
200,"[80, 2]",3,0,0,0
201,"[80, 3]",2,0,0,0
202,"[80, 4]",42,158,64,0
203,"[80, 5]",40,0,0,0
204,"[80, 6]",36,0,0,1
205,"[80, 7]",35,0,0,3
206,"[80, 8]",13,57,26,-1
207,"[80, 9]",121,158,64,0
208,"[80, 10]",115,0,0,0
209,"[80, 11]",87,2,1,0
210,"[80, 12]",86,2,1,0
211,"[80, 13]",219,53,24,0
212,"[81, 0]",1,158,64,0
213,"[82, 0]",1,2,1,0
214,"[83, 0]",1,0,0,0
215,"[83, 1]",2,158,64,0
216,"[84, 0]",1,2,1,0
217,"[85, 0]",1,41,18,0
218,"[86, 0]",1,41,18,0
219,"[87, 0]",1,158,64,0
220,"[88, 0]",1,2,1,0
221,"[89, 0]",1,41,18,0
222,"[90, 0]",1,41,18,0
223,"[91, 0]",1,0,0,0
224,"[91, 1]",2,2,1,0
225,"[92, 0]",1,57,26,0
226,"[93, 0]",1,2,1,0
227,"[94, 0]",1,37,18,0
228,"[95, 0]",1,0,0,0
229,"[95, 1]",2,158,64,18
230,"[96, 0]",1,2,1,0
231,"[97, 0]",1,2,1,0
232,"[98, 0]",1,0,0,0
233,"[98, 1]",3,2,1,0
234,"[98, 2]",2,2,1,0
235,"[99, 0]",1,158,64,0
236,"[100, 0]",1,0,0,0
237,"[100, 1]",2,0,0,0
238,"[100, 2]",16,156,64,0
239,"[101, 0]",1,0,0,0
240,"[101, 1]",2,158,64,0
241,"[102, 0]",1,41,18,0
242,"[103, 0]",1,0,0,0
243,"[103, 1]",2,2,1,0
244,"[104, 0]",1,158,64,0
245,"[105, 0]",1,2,1,0
246,"[106, 0]",1,41,18,0
247,"[107, 0]",1,0,0,0
248,"[107, 1]",2,41,18,5
249,"[108, 0]",1,41,18,1
250,"[109, 0]",1,41,18,0
251,"[110, 0]",1,2,1,0
252,"[111, 0]",1,57,26,0
253,"[112, 0]",1,0,0,0
254,"[112, 1]",7,0,0,0
255,"[112, 2]",5,0,0,0
256,"[112, 3]",3,0,0,0
257,"[112, 4]",50,57,26,0
258,"[112, 5]",47,57,26,0
259,"[112, 6]",27,41,18,0
260,"[113, 0]",1,0,0,0
261,"[113, 1]",2,0,0,0
262,"[113, 2]",37,41,18,0
263,"[114, 0]",1,0,0,0
264,"[114, 1]",2,2,1,0
265,"[115, 0]",1,0,0,0
266,"[115, 1]",2,41,18,0
267,"[116, 0]",1,41,18,0
268,"[117, 0]",1,0,0,0
269,"[117, 1]",2,0,0,0
270,"[117, 2]",37,0,0,0
271,"[117, 3]",79,2,1,0
272,"[118, 0]",1,0,0,0
273,"[118, 1]",2,0,0,0
274,"[118, 2]",68,2,1,0
275,"[119, 0]",1,0,0,0
276,"[119, 1]",2,0,0,0
277,"[119, 2]",17,158,64,-1
278,"[120, 0]",1,41,18,0
279,"[121, 0]",1,0,0,1
280,"[121, 1]",4,41,18,0
281,"[121, 2]",3,2,1,0
282,"[122, 0]",1,0,0,0
283,"[122, 1]",2,0,0,0
284,"[122, 2]",29,0,0,0
285,"[122, 3]",52,158,64,0
286,"[123, 0]",1,156,64,0
287,"[124, 0]",1,0,0,0
288,"[124, 1]",2,41,18,0
289,"[125, 0]",1,0,0,0
290,"[125, 1]",2,0,0,0
291,"[125, 2]",16,2,1,0
292,"[126, 0]",1,2,1,0
293,"[127, 0]",1,0,0,0
294,"[127, 1]",2,57,26,0
295,"[128, 0]",1,0,0,0
296,"[128, 1]",6,158,64,0
297,"[128, 2]",2,0,0,0
298,"[128, 3]",53,156,64,0
299,"[128, 4]",51,0,0,0
300,"[128, 5]",50,0,0,0
301,"[128, 6]",47,0,0,0
302,"[128, 7]",90,0,0,0
303,"[128, 8]",89,0,0,0
304,"[128, 9]",87,0,0,0
305,"[128, 10]",80,0,0,0
306,"[128, 11]",177,156,64,0
307,"[128, 12]",142,0,0,0
308,"[128, 13]",131,158,64,0
309,"[128, 14]",128,158,64,1
310,"[128, 15]",261,156,64,0
311,"[129, 0]",1,0,0,0
312,"[129, 1]",2,158,64,12
313,"[130, 0]",1,41,18,0
314,"[131, 0]",1,2,1,0
315,"[132, 0]",1,158,64,0
316,"[133, 0]",1,0,0,0
317,"[133, 1]",2,41,18,0
