# [LF, 4, 141.8, 4.4, 289, 1.245674740484429, 33.2, 62.2, 300.0, 42.0, 24318974.1] # mode design r d npanels phi theta L H z V
,nidx,tid,nC_A,nC_Z,cross_cryo
171,"[84, 0]",1,2,1,0
172,"[85, 0]",1,158,64,0
173,"[86, 0]",1,2,1,0
174,"[87, 0]",1,0,0,0
175,"[87, 1]",2,0,0,3
176,"[87, 2]",36,158,64,9
177,"[88, 0]",1,158,64,0
178,"[89, 0]",1,51,24,0
179,"[90, 0]",1,64,29,0
180,"[91, 0]",1,0,0,0
181,"[91, 1]",2,41,18,0
182,"[92, 0]",1,0,0,0
183,"[92, 1]",4,0,0,0
184,"[92, 2]",2,0,0,0
185,"[92, 3]",42,0,0,0
186,"[92, 4]",27,2,1,6
187,"[92, 5]",85,0,0,0
188,"[92, 6]",84,158,64,0
189,"[92, 7]",143,57,26,0
190,"[93, 0]",1,0,0,0
191,"[93, 1]",2,0,0,0
192,"[93, 2]",34,158,64,0
193,"[94, 0]",1,2,1,0
194,"[95, 0]",1,0,0,0
195,"[95, 1]",2,156,64,38
196,"[96, 0]",1,0,0,0
197,"[96, 1]",3,0,0,0
198,"[96, 2]",48,2,1,0
199,"[97, 0]",1,158,64,0
200,"[98, 0]",1,0,0,0
201,"[98, 1]",2,2,1,0
202,"[99, 0]",1,63,28,1
203,"[100, 0]",1,0,0,0
204,"[100, 1]",2,0,0,0
205,"[100, 2]",68,41,18,0
206,"[101, 0]",1,2,1,0
207,"[102, 0]",1,2,1,1
208,"[103, 0]",1,41,18,0
209,"[104, 0]",1,0,0,0
210,"[104, 1]",2,2,1,0
211,"[105, 0]",1,57,26,0
212,"[106, 0]",1,158,64,1
213,"[107, 0]",1,2,1,0
214,"[108, 0]",1,0,0,0
215,"[108, 1]",2,2,1,0
216,"[109, 0]",1,0,0,0
217,"[109, 1]",2,158,64,0
218,"[110, 0]",1,156,64,0
219,"[111, 0]",1,41,18,0
220,"[112, 0]",1,2,1,0
221,"[113, 0]",1,0,0,0
222,"[113, 1]",2,0,0,0
223,"[113, 2]",11,57,26,6
224,"[114, 0]",1,0,0,0
225,"[114, 1]",2,41,18,0
226,"[115, 0]",1,0,0,0
227,"[115, 1]",3,41,18,0
228,"[115, 2]",2,0,0,0
229,"[115, 3]",41,2,1,2
230,"[116, 0]",1,2,1,0
231,"[117, 0]",1,0,0,0
232,"[117, 1]",2,156,64,0
233,"[118, 0]",1,2,1,0
234,"[119, 0]",1,0,0,0
235,"[119, 1]",2,0,0,0
236,"[119, 2]",29,53,24,0
237,"[120, 0]",1,2,1,0
238,"[121, 0]",1,0,0,0
239,"[121, 1]",2,63,28,0
240,"[122, 0]",1,2,1,0
241,"[123, 0]",1,0,0,0
242,"[123, 1]",2,0,0,0
243,"[123, 2]",14,156,64,0
244,"[124, 0]",1,0,0,1
245,"[124, 1]",2,0,0,0
246,"[124, 2]",66,158,64,0
247,"[124, 3]",64,2,1,0
248,"[124, 4]",61,0,0,0
249,"[124, 5]",60,0,0,0
250,"[124, 6]",58,0,0,0
251,"[124, 7]",57,0,0,0
252,"[124, 8]",55,0,0,0
253,"[124, 9]",49,2,1,0
254,"[124, 10]",47,0,0,0
255,"[124, 11]",46,0,0,0
256,"[124, 12]",45,0,0,0
257,"[124, 13]",44,0,0,0
258,"[124, 14]",159,0,0,0
259,"[124, 15]",154,58,26,0
260,"[124, 16]",149,57,26,0
261,"[124, 17]",146,0,0,0
262,"[124, 18]",120,2,1,0
263,"[124, 19]",119,0,0,0
264,"[124, 20]",118,0,0,0
265,"[124, 21]",117,0,0,0
266,"[124, 22]",113,158,64,0
267,"[124, 23]",112,57,26,0
268,"[124, 24]",104,0,0,0
269,"[124, 25]",99,158,64,0
270,"[124, 26]",95,0,0,0
271,"[124, 27]",439,158,64,0
272,"[124, 28]",403,53,24,0
273,"[124, 29]",305,41,18,0
274,"[124, 30]",304,158,64,0
275,"[124, 31]",301,0,0,0
276,"[124, 32]",298,158,64,0
277,"[124, 33]",296,0,0,0
278,"[124, 34]",293,57,26,3
279,"[124, 35]",257,156,64,49
280,"[124, 36]",187,156,64,0
281,"[124, 37]",730,0,0,0
282,"[124, 38]",697,0,0,0
283,"[124, 39]",1056,158,64,0
284,"[124, 40]",985,57,26,4
285,"[125, 0]",1,156,64,0
286,"[126, 0]",1,158,64,0
287,"[127, 0]",1,158,64,0
288,"[128, 0]",1,0,0,0
289,"[128, 1]",6,0,0,0
290,"[128, 2]",5,0,0,0
291,"[128, 3]",3,0,0,0
292,"[128, 4]",2,0,0,0
293,"[128, 5]",35,0,0,0
294,"[128, 6]",34,158,64,0
295,"[128, 7]",30,0,0,0
296,"[128, 8]",26,37,18,0
297,"[128, 9]",22,0,0,0
298,"[128, 10]",133,158,64,10
299,"[128, 11]",85,2,1,0
300,"[128, 12]",84,57,26,0
301,"[128, 13]",55,158,64,0
302,"[129, 0]",1,0,0,0
303,"[129, 1]",2,156,64,0
304,"[130, 0]",1,57,26,0
305,"[131, 0]",1,0,0,0
306,"[131, 1]",2,158,64,0
307,"[132, 0]",1,0,0,0
308,"[132, 1]",2,64,29,0
309,"[133, 0]",1,0,0,0
310,"[133, 1]",2,0,0,0
311,"[133, 2]",24,2,1,0
312,"[134, 0]",1,41,18,0
313,"[135, 0]",1,158,64,0
314,"[136, 0]",1,0,0,0
315,"[136, 1]",2,158,64,0
316,"[137, 0]",1,158,64,0
317,"[138, 0]",1,0,0,0
318,"[138, 1]",2,158,64,1
319,"[139, 0]",1,2,1,0
320,"[140, 0]",1,158,64,0
321,"[141, 0]",1,0,0,0
322,"[141, 1]",2,158,64,0
323,"[142, 0]",1,0,0,0
324,"[142, 1]",2,2,1,45
325,"[143, 0]",1,0,0,0
326,"[143, 1]",2,41,18,0
327,"[144, 0]",1,41,18,0
328,"[145, 0]",1,41,18,0
329,"[146, 0]",1,58,26,0
330,"[147, 0]",1,57,26,0
331,"[148, 0]",1,0,0,0
